,load_factor,route_avg_load_factor,lag_load_factor,rolling_load_factor_2,market_distance,avg_fuel_price,passengers_db1b,is_saturated,avg_fare
load_factor,1.0,1.0,1.0,1.0,0.0835595723699202,,0.22620336852829062,0.5143781789932497,0.04200193734844307
route_avg_load_factor,1.0,1.0,1.0,1.0,0.0835595723699202,,0.22620336852829062,0.5143781789932497,0.04200193734844307
lag_load_factor,1.0,1.0,1.0,1.0,0.0835595723699202,,0.22620336852829062,0.5143781789932497,0.04200193734844307
rolling_load_factor_2,1.0,1.0,1.0,1.0,0.0835595723699202,,0.22620336852829062,0.5143781789932497,0.04200193734844307
market_distance,0.0835595723699202,0.0835595723699202,0.0835595723699202,0.0835595723699202,1.0,,0.04761300900530469,0.1816514231595903,0.5163321226257191
avg_fuel_price,,,,,,,,,
passengers_db1b,0.22620336852829062,0.22620336852829062,0.22620336852829062,0.22620336852829062,0.04761300900530469,,1.0,0.11998545193623356,0.0028415889378610062
is_saturated,0.5143781789932497,0.5143781789932497,0.5143781789932497,0.5143781789932497,0.1816514231595903,,0.11998545193623356,1.0,0.18503691141858092
avg_fare,0.04200193734844307,0.04200193734844307,0.04200193734844307,0.04200193734844307,0.5163321226257191,,0.0028415889378610062,0.18503691141858092,1.0
